# --- BURST CONFIG LOG ---
# Shape: SQU
# Freq: 100.0
# Amp: 0.15
# R_lim: 200000.0
# Filter: Savitzky-Golay
# -------------------
Time_s,CH1_V_Supply,CH2_V_Resistor,CH3_V_SenseP,CH4_V_SenseN,I_Sample_Raw,V_Sample_Raw,I_Sample_Filt,V_Sample_Filt
0.016364,0.0,0.0,-0.005712,-0.00504,0.0,0.0006719999999999999,-1.4867068648610313e-09,0.000527175482596728
0.016368,0.0,0.0,-0.005712,-0.00504,0.0,0.0006719999999999999,-1.494793984252581e-09,0.0005249538856797552
0.016371999999999998,-0.001504,0.0,-0.005712,-0.00504,-7.519999999999999e-09,0.0006719999999999999,-1.4900299156127076e-09,0.0005281919026853387
0.016375999999999998,-0.001504,0.0,-0.005712,-0.00504,-7.519999999999999e-09,0.0006719999999999999,-1.4775043912156096e-09,0.000531284856640928
0.01638,0.0,-0.000692,-0.005712,-0.00504,3.46e-09,0.0006719999999999999,-1.462307143335484e-09,0.0005342446322301371
0.016384,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-1.444438171972331e-09,0.0005319961200002735
0.016388,-0.001504,0.0,-0.005304,-0.00504,-7.519999999999999e-09,0.0002639999999999995,-1.4238974771261503e-09,0.0005288788373982275
0.016392,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-1.4117471358784348e-09,0.0005314069193326341
0.016396,0.0,-0.000692,-0.005712,-0.00504,3.46e-09,0.0006719999999999999,-1.4568788140947937e-09,0.0005338269904659608
0.016399999999999998,0.0,0.0,-0.005712,-0.00504,0.0,0.0006719999999999999,-1.4403684251918283e-09,0.000531063941345515
0.016404,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-1.4650890331749528e-09,0.0005223702952818807
0.016408,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-1.4393304378979535e-09,0.0005249532564906226
0.016412,0.0,0.0,-0.005712,-0.00504,0.0,0.0006719999999999999,-1.534397769873856e-09,0.000521677627956896
0.016416,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-1.5158626153875361e-09,0.000524674106245501
0.01642,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-1.5388782955963305e-09,0.000521223702952745
0.016423999999999998,-0.001504,0.0,-0.005712,-0.00504,-7.519999999999999e-09,0.0006719999999999999,-1.3455192121151942e-09,0.0005170916780997749
0.016427999999999998,-0.001504,0.0,-0.005712,-0.00504,-7.519999999999999e-09,0.0006719999999999999,-1.2096437216535456e-09,0.0005186434682302441
0.016432,0.0,0.0,-0.005712,-0.00504,0.0,0.0006719999999999999,-1.188402762606188e-09,0.0005137602614629662
0.016436,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-1.1644726025998996e-09,0.0005031203236827818
0.01644,-0.001504,0.0,-0.005304,-0.00504,-7.519999999999999e-09,0.0002639999999999995,-1.0315915863429532e-09,0.0004974167241966203
0.016444,-0.001504,0.0,-0.005712,-0.00504,-7.519999999999999e-09,0.0006719999999999999,-1.01312605046898e-09,0.0004973983378919706
0.016448,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-1.0406439284703685e-09,0.0004973117894312991
0.016451999999999998,0.0,-0.000692,-0.005304,-0.00468,3.46e-09,0.0006239999999999996,-1.0113729431194104e-09,0.0004920819693619143
0.016456,-0.001504,0.0,-0.005712,-0.00504,-7.519999999999999e-09,0.0006719999999999999,-1.0281861584215206e-09,0.0004916649567868706
0.01646,-0.001504,0.0,-0.005712,-0.00504,-7.519999999999999e-09,0.0006719999999999999,-9.883112971489916e-10,0.0004918818173078742
0.016464,0.0,-0.000692,-0.005712,-0.00504,3.46e-09,0.0006719999999999999,-9.946214233072376e-10,0.0004863009097025512
0.016468,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-9.392545273943531e-10,0.0004863040556482136
0.016472,0.0,-0.000692,-0.005712,-0.00504,3.46e-09,0.0006719999999999999,-8.711022752759471e-10,0.00048044931095044376
0.016475999999999998,0.0,0.0,-0.005712,-0.00504,0.0,0.0006719999999999999,-8.0631647630771e-10,0.00047584958884231126
0.016479999999999998,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-8.6731059513706e-10,0.0004718266234389755
0.016484,0.0,0.0,-0.005304,-0.00468,0.0,0.0006239999999999996,-8.196562180488724e-10,0.0004690586806252769
0.016488,0.0,0.0,-0.005304,-0.00468,0.0,0.0006239999999999996,-7.696150003348751e-10,0.00046604940882431084
0.016492,-0.001504,0.0,-0.005712,-0.00504,-7.519999999999999e-09,0.0006719999999999999,-6.742676209367548e-10,0.0004693129429447128
0.016496,0.0,-0.000692,-0.005712,-0.00504,3.46e-09,0.0006719999999999999,-6.363863570822193e-10,0.00046620090358543754
0.0165,0.0,0.0,-0.005712,-0.00504,0.0,0.0006719999999999999,-5.909277335499694e-10,0.0004637569931749793
0.016503999999999998,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-5.378917503400057e-10,0.0004618339115464283
0.016508,0.0,-0.000692,-0.005712,-0.00504,3.46e-09,0.0006719999999999999,-4.934302168080183e-10,0.000465520051034163
0.016512,0.0,0.0,-0.005712,-0.00504,0.0,0.0006719999999999999,-5.748668653272274e-10,0.0004692107346656325
0.016516,0.0,-0.000692,-0.005712,-0.00504,3.46e-09,0.0006719999999999999,-5.426835499083115e-10,0.0004678308529881446
0.01652,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-5.520335917086067e-10,0.0004669983658559363
0.016524,-0.001504,0.0,-0.005712,-0.00504,-7.519999999999999e-09,0.0006719999999999999,-5.001447135004049e-10,0.0004654362290597326
0.016527999999999998,-0.001504,0.0,-0.005712,-0.00504,-7.519999999999999e-09,0.0006719999999999999,-5.58322045796733e-10,0.000469658577508169
0.016531999999999998,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-5.082889842381571e-10,0.0004624596051837532
0.016536,0.0,0.0,-0.005304,-0.00468,0.0,0.0006239999999999996,-4.5630718411640466e-10,0.00045521064727825487
0.01654,-0.001504,0.0,-0.005304,-0.00504,-7.519999999999999e-09,0.0002639999999999995,-2.9611499013974836e-10,0.0004479012173061325
0.016544,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-3.6840247131504003e-10,0.0004456078229181502
0.016548,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-3.813712245010365e-10,0.0004439923448654909
0.016552,0.0,0.0,-0.005304,-0.00468,0.0,0.0006239999999999996,-2.8452922962195073e-10,0.00043654204643759096
0.016555999999999998,-0.001504,0.0,-0.005304,-0.00504,-7.519999999999999e-09,0.0002639999999999995,-2.2954042977109968e-10,0.0004346282628262203
0.01656,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-1.7857523616436762e-10,0.0004326344323752143
0.016564,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-3.029387793147813e-10,0.00043639642410836776
0.016568,0.0,-0.000692,-0.005304,-0.00468,3.46e-09,0.0006239999999999996,-2.654303682795083e-10,0.00043507386855184146
0.016572,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-2.751847223556914e-10,0.0004342847255598725
0.016576,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-2.8938330726272395e-10,0.0004391173874668391
0.016579999999999998,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-3.7655897628592436e-10,0.00044396717730019067
0.016583999999999998,0.0,0.0,-0.005304,-0.00468,0.0,0.0006239999999999996,-3.5117498157577735e-10,0.000443758985607235
0.016588,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-3.1949297842401025e-10,0.0004377453356985557
0.016592,-0.001504,0.0,-0.005304,-0.00504,-7.519999999999999e-09,0.0002639999999999995,-3.465564420519226e-10,0.00043676799524606385
0.016596,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-3.295930952318061e-10,0.00043521040259359513
0.0166,0.0,-0.000692,-0.005304,-0.00468,3.46e-09,0.0006239999999999996,-3.0643252674777657e-10,0.00043435100014849637
0.016604,0.0,-0.000692,-0.005304,-0.00468,3.46e-09,0.0006239999999999996,-3.259664024654427e-10,0.0004340424877438578
0.016607999999999998,-0.001504,-0.000692,-0.005304,-0.00504,-4.06e-09,0.0002639999999999995,-1.8425052213956627e-10,0.00043300782117040447
0.016612,0.0,0.0,-0.005712,-0.00504,0.0,0.0006719999999999999,-1.5863262054358506e-10,0.0004313956987931185
0.016616,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-1.806806311698872e-10,0.00043048456301934704
0.01662,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-1.42532544516567e-10,0.0004237616771385268
0.016624,-0.001504,0.0,-0.005304,-0.00504,-7.519999999999999e-09,0.0002639999999999995,-9.30800264492335e-11,0.0004220688088225693
0.016628,-0.001504,0.0,-0.005304,-0.00504,-7.519999999999999e-09,0.0002639999999999995,-1.5473654161530428e-10,0.00042615483295896313
0.016632,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-2.7544088389417517e-10,0.00043026637421017495
0.016635999999999998,0.0,0.0,-0.005304,-0.00468,0.0,0.0006239999999999996,-2.353160947162339e-10,0.000429328323123513
0.01664,-0.001504,0.0,-0.005304,-0.00504,-7.519999999999999e-09,0.0002639999999999995,-8.834357222128695e-11,0.0004225932030095608
0.016644,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-6.895173012445865e-11,0.0004209027815402296
0.016648,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-2.2603223429135783e-10,0.00042500593360300816
0.016652,0.0,0.0,-0.005304,-0.00468,0.0,0.0006239999999999996,-1.6840299563934548e-10,0.0004176968531804038
0.016656,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-1.5398961255346617e-10,0.0004159634371203514
0.016659999999999998,0.0,0.0,-0.005304,-0.00504,0.0,0.0002639999999999995,-1.4496249624960416e-10,0.00042055456031033964
0.016663999999999998,0.0,-0.000692,-0.005712,-0.00504,3.46e-09,0.0006719999999999999,-2.637351113751773e-10,0.0004251872798929769
0.016668,0.0,-0.000692,-0.005304,-0.00504,3.46e-09,0.0002639999999999995,-2.2189764607525521e-10,0.0004247864864155709
0.016672,0.0,-0.000692,-0.005712,-0.00504,3.46e-09,0.0006719999999999999,-2.7737569873488226e-10,0.0004186047031887054
